Wilayah;Keterangan;Bahasa Indonesia;Bahasa Inggris;Matematika;IPA;Fisika;Kimia;Biologi;Ekonomi;Sosiologi;Geografi;Kejuruan;Jumlah Peserta;latitude;longitude
Provinsi Maluku;Nilai Rata-rata Sekolah UN SMP;70,36;66,71;63,3;64,31;;;;;;;;34762;-32.384.616;1.301.452.734
Provinsi Maluku;Nilai Rata-rata Sekolah UN SMA IPA;66,96;57,37;51,39;;53,12;51,22;55,13;;;;;9655;-32.384.616;1.301.452.734
Provinsi Maluku;Nilai Rata-rata Sekolah UN SMA IPS;58,63;51,75;49,43;;;;;46,36;57,2;43,33;;11875;-32.384.616;1.301.452.734
Provinsi Maluku;Nilai Rata-rata Sekolah UN SMA SMK;53,54;52,5;45,47;;;;;;;;76,37;4812;-32.384.616;1.301.452.734
Provinsi Maluku Utara;Nilai Rata-rata Sekolah UN SMA IPS;61,61;52,09;59,06;;;;;50,11;58,29;45,17;;5614;15.709.993;1.278.087.693
Provinsi Maluku Utara;Nilai Rata-rata Sekolah UN SMA SMK;52,59;55,18;47,18;;;;;;;;77,15;4097;15.709.993;1.278.087.693
Provinsi Maluku Utara;Nilai Rata-rata Sekolah UN SMA IPA;66,71;55,28;55,28;;51,82;52,82;56,06;;;;;6652;15.709.993;1.278.087.693
Provinsi Maluku Utara;Nilai Rata-rata Sekolah UN SMP;68,15;65,54;62,52;64,99;;;;;;;;21396;15.709.993;1.278.087.693
Provinsi Nusa Tenggara Barat;Nilai Rata-rata Sekolah UN SMP;65,32;60,95;56,86;62,01;;;;;;;;87083;-86.529.334;1.173.616.476
Provinsi Nusa Tenggara Barat;Nilai Rata-rata Sekolah UN SMA IPA;65,03;56,3;53,85;;58,95;45,45;48,94;;;;;17557;-86.529.334;1.173.616.476
Provinsi Nusa Tenggara Barat;Nilai Rata-rata Sekolah UN SMA IPS;56,44;47,71;45,44;;;;;47,8;49,17;42,92;;24545;-86.529.334;1.173.616.476
Provinsi Nusa Tenggara Barat;Nilai Rata-rata Sekolah UN SMA SMK;54,14;46,63;37,04;;;;;;;;75,49;15924;-86.529.334;1.173.616.476
Provinsi Nusa Tenggara Timur;Nilai Rata-rata Sekolah UN SMA IPS;54,25;43,81;33,01;;;;;35,38;48,14;35,27;;27753;-86.573.819;1.210.793.705
Provinsi Nusa Tenggara Timur;Nilai Rata-rata Sekolah UN SMA SMK;56,83;45,64;37,82;;;;;;;;78,09;15611;-86.573.819;1.210.793.705
